ticker,date,price_usd,market_cap
BTC,2011-06-15,19.4641426241964,127637088.270657
BTC,2011-06-16,17.9293625423729,117734055.423325
BTC,2011-06-17,15.4363689129164,101507246.361637
BTC,2011-06-18,16.8754045353594,111136351.479762
BTC,2011-06-19,17.5107167913501,115515571.889911
BTC,2011-06-20,17.5107167913501,115720447.276369
BTC,2011-06-21,17.5107167913501,115941957.84378
BTC,2011-06-22,17.5107167913501,116169597.162067
BTC,2011-06-23,17.5107167913501,116379725.763564
BTC,2011-06-24,17.5107167913501,116568841.50491
BTC,2011-06-25,17.5107167913501,116694043.129968
BTC,2011-06-26,16.3613420157802,109156329.228866
BTC,2011-06-27,16.7522858132671,111906106.679392
BTC,2011-06-28,16.9618353071303,113441602.456234
BTC,2011-06-29,16.8545683179427,112869144.757805
BTC,2011-06-30,16.1852627808299,108541609.098949
BTC,2011-07-01,15.4203573991818,103545386.727692
BTC,2011-07-02,15.38284406955,103423475.378977
BTC,2011-07-03,15.4575505604909,104053274.320897
BTC,2011-07-04,13.8527968123904,93368543.0168238
BTC,2011-07-05,12.9648177147867,87473624.9920176
BTC,2011-07-06,14.7147835832846,99396155.740402
BTC,2011-07-07,14.7972891613092,100050390.787303
BTC,2011-07-08,14.2990376969608,96799480.4022402
BTC,2011-07-09,14.3815006697838,97464868.0453766
BTC,2011-07-10,14.6229375511397,99201277.0538246
BTC,2011-07-11,14.3101554330801,97191713.5272917
BTC,2011-07-12,14.0212726215663,95328529.2229232
BTC,2011-07-13,13.9714545225015,95123250.8312845
BTC,2011-07-14,13.997974547633,95404595.1868676
BTC,2011-07-15,13.8063904056108,94210666.0727023
BTC,2011-07-16,13.7130792992402,93681586.7495934
BTC,2011-07-17,13.2581353109293,90686308.3009405
BTC,2011-07-18,13.6305212504383,93349306.1733839
BTC,2011-07-19,13.8247948386908,94777954.5976225
BTC,2011-07-20,13.6783305920514,93875750.5495245
BTC,2011-07-21,13.6118084418469,93522652.1252793
BTC,2011-07-22,13.6985473310929,94222033.0431041
BTC,2011-07-23,13.6817183424898,94206155.5963133
BTC,2011-07-24,13.992515176505,96462300.6096237
BTC,2011-07-25,14.0334253787259,96860105.1661696
BTC,2011-07-26,13.8780323232028,95909693.4436418
BTC,2011-07-27,13.878224755114,96031763.8767045
BTC,2011-07-28,13.4915910756867,93460973.3032422
BTC,2011-07-29,13.5123163901227,93715345.8043922
BTC,2011-07-30,13.5402806738749,94012199.6254116
BTC,2011-07-31,13.3729061022794,92967105.798707
BTC,2011-08-01,13.0191138468732,90614985.1111232
BTC,2011-08-02,12.2141564389246,85106409.8208191
BTC,2011-08-03,9.28635691350088,64778839.8286444
BTC,2011-08-04,10.7685037481005,75187308.3371148
BTC,2011-08-05,9.73015395967271,68005505.4499449
BTC,2011-08-06,6.964169735827,48716108.274902
BTC,2011-08-07,8.50179329222677,59525730.7401723
BTC,2011-08-08,7.77533763793104,54492287.4570405
BTC,2011-08-09,9.80249948100526,68770905.3858895
BTC,2011-08-10,10.0512531274109,70592463.426576
BTC,2011-08-11,9.43841299473992,66352987.0999369
BTC,2011-08-12,9.45299328521333,66517405.1058664
BTC,2011-08-13,10.0040247445938,70459846.7798455
BTC,2011-08-14,10.8068207665108,76185384.5906412
BTC,2011-08-15,11.1306965499708,78540420.8845969
BTC,2011-08-16,10.9919655669199,77642298.2702973
BTC,2011-08-17,10.9639640561075,77519063.1544599
BTC,2011-08-18,10.8584714558738,76851374.5439348
BTC,2011-08-19,11.6704730432496,82674797.9689797
BTC,2011-08-20,11.4597317393337,81268979.4612353
BTC,2011-08-21,11.3544813407364,80613411.0612813
BTC,2011-08-22,10.9208958246639,77627365.5468756
BTC,2011-08-23,10.9172450543542,77686023.9731065
BTC,2011-08-24,10.870444289889,77425826.3904589
BTC,2011-08-25,9.5460936735827,68057442.8362958
BTC,2011-08-26,8.12692016306254,57999391.0464591
BTC,2011-08-27,8.59649760666277,61403063.0189058
BTC,2011-08-28,9.03086639976622,64558051.45506
BTC,2011-08-29,8.96115727060199,64121560.7601809
BTC,2011-08-30,8.80994873816481,63103900.7336273
BTC,2011-08-31,8.19915176446523,58792427.6026946
BTC,2011-09-01,8.23428166510813,59097439.4281382
BTC,2011-09-02,8.6214244377557,61943210.2141728
BTC,2011-09-03,8.44965344067796,60770329.9435313
BTC,2011-09-04,8.20347060227937,59054733.9161238
BTC,2011-09-05,7.5973325251315,54750556.633013
BTC,2011-09-06,6.84653002893045,49391552.2132418
BTC,2011-09-07,7.16297027352426,51723091.9764616
BTC,2011-09-08,6.67818000029223,48265544.1583302
BTC,2011-09-09,4.98677704178843,36079581.1863236
BTC,2011-09-10,4.74284665517242,34346272.5753336
BTC,2011-09-11,5.85290397253068,42421555.2891746
BTC,2011-09-12,6.09062947223846,44185080.5083948
BTC,2011-09-13,5.80252327703098,42136183.2227906
BTC,2011-09-14,5.59743261016949,40687737.5873476
BTC,2011-09-15,4.86775518468732,35421680.8792551
BTC,2011-09-16,4.83116810052601,35184189.4357941
BTC,2011-09-17,4.775285635301,34809205.826492
BTC,2011-09-18,5.23673227819988,38214268.2379545
BTC,2011-09-19,5.52037669199299,40319175.1901054
BTC,2011-09-20,6.14666555172414,44936427.7875229
BTC,2011-09-21,5.59706749795441,40959339.8940596
BTC,2011-09-22,5.47504877673875,40106922.2543715
BTC,2011-09-23,5.56342141963764,40791283.9642199
BTC,2011-09-24,5.45788968731736,40052723.4157995
BTC,2011-09-25,5.34115488135593,39232651.9543562
BTC,2011-09-26,4.87382608123904,35832612.9918352
BTC,2011-09-27,4.91115779251899,36139736.7986979
BTC,2011-09-28,4.76341532144945,35087555.3809285
BTC,2011-09-29,4.77766097837522,35222349.983099
BTC,2011-09-30,5.14368590999416,37952172.066864
BTC,2011-10-01,5.03407054471069,37179379.6611473
BTC,2011-10-02,5.00706259672706,37010203.8398971
BTC,2011-10-03,5.02284486031561,37163275.6445176
BTC,2011-10-04,4.95680562068966,36702419.3285474
BTC,2011-10-05,4.88506713091759,36206652.0053712
BTC,2011-10-06,4.73016629573349,35088846.5510789
BTC,2011-10-07,4.27603575686733,31749565.4519795
BTC,2011-10-08,3.98125299415546,29584491.8971069
BTC,2011-10-09,4.11163464348334,30579460.2928623
BTC,2011-10-10,4.07496248392753,30331779.4602407
BTC,2011-10-11,4.00892449590883,29858870.4978893
BTC,2011-10-12,4.16623534248977,31055534.8247906
BTC,2011-10-13,4.03698109000584,30111640.0609292
BTC,2011-10-14,3.98628088544711,29761174.4227967
BTC,2011-10-15,3.83733856049094,28674896.0887512
BTC,2011-10-16,3.60974171654003,26995633.878133
BTC,2011-10-17,2.58124672180012,19319212.0011644
BTC,2011-10-18,2.42227473816482,18143927.7882639
BTC,2011-10-19,2.21725471303331,16622980.2869095
BTC,2011-10-20,2.35612350847458,17677641.2419972
BTC,2011-10-21,2.57009230508475,19298566.0839499
BTC,2011-10-22,3.15548613851549,23709691.7160228
BTC,2011-10-23,3.14775092986558,23668568.7603677
BTC,2011-10-24,2.52293599766219,18986480.9719773
BTC,2011-10-25,2.80192383109293,21104090.2677727
BTC,2011-10-26,2.7775052390415,20936417.8383339
BTC,2011-10-27,3.04540782758621,22971054.4018545
BTC,2011-10-28,3.17963943658679,24000236.3995043
BTC,2011-10-29,3.56918896873174,26960761.1368655
BTC,2011-10-30,3.25740372296902,24623691.9304656
BTC,2011-10-31,3.26509821274109,24703243.2802162
BTC,2011-11-01,3.17100774284044,24015151.4575305
BTC,2011-11-02,3.2558005666277,24682386.8530749
BTC,2011-11-03,3.16831638515488,24038966.8774024
BTC,2011-11-04,3.12011817182934,23696205.4424825
BTC,2011-11-05,2.97781759789597,22637220.4585471
BTC,2011-11-06,2.96272057685564,22543785.2477539
BTC,2011-11-07,3.01775768731736,22982488.0770096
BTC,2011-11-08,3.05656711104617,23300822.3703615
BTC,2011-11-09,2.9195672238457,22279947.3477768
BTC,2011-11-10,2.85670208533022,21820347.5098108
BTC,2011-11-11,3.06786173348919,23451502.0255461
BTC,2011-11-12,3.02552299590883,23149486.6206416
BTC,2011-11-13,2.98637330333139,22871438.55103
BTC,2011-11-14,2.22422446434833,17050348.6653359
BTC,2011-11-15,2.3223841157218,17821975.6808252
BTC,2011-11-16,2.54678093074226,19561187.6083308
BTC,2011-11-17,2.27909583576856,17521005.033847
BTC,2011-11-18,2.10506600321449,16197114.5807827
BTC,2011-11-19,2.20345672180012,16967718.4641872
BTC,2011-11-20,2.20198950964348,16972164.4219836
BTC,2011-11-21,2.27987916540035,17585961.9134751
BTC,2011-11-22,2.32245859614261,17930657.6912242
BTC,2011-11-23,2.33032356750438,18006992.763695
BTC,2011-11-24,2.43887900029223,18859607.396971
BTC,2011-11-25,2.49616100292227,19319412.4813057
BTC,2011-11-26,2.47179996902396,19145697.4053524
BTC,2011-11-27,2.47756495119813,19204473.059694
BTC,2011-11-28,2.5412402521917,19714179.4790151
BTC,2011-11-29,2.75769848275862,21412425.6116506
BTC,2011-11-30,2.9660415458796,23054151.0939979
BTC,2011-12-01,3.08258945002922,23988094.5514115
BTC,2011-12-02,3.10040233313852,24149343.7820452
BTC,2011-12-03,2.80385618527177,21860825.4916698
BTC,2011-12-04,2.81969397603741,22003481.913811
BTC,2011-12-05,2.87479622735242,22456183.2215927
BTC,2011-12-06,3.02536045149036,23658167.4323784
BTC,2011-12-07,2.98550242109877,23367079.5947219
BTC,2011-12-08,2.99188048305085,23441533.1488087
BTC,2011-12-09,2.95579195207481,23180502.7753935
BTC,2011-12-10,3.06897526709527,24090228.2259012
BTC,2011-12-11,3.2492688471654,25530155.1534553
BTC,2011-12-12,3.18733535651666,25063770.9108632
BTC,2011-12-13,3.24108840853302,25507851.9060052
BTC,2011-12-14,3.1550865043834,24855140.4326807
BTC,2011-12-15,3.20313854061952,25251622.3390885
BTC,2011-12-16,3.2091377773232,25317850.6345445
BTC,2011-12-17,3.19254170426651,25210863.2983263
BTC,2011-12-18,3.19401080888369,25245461.4014765
BTC,2011-12-19,3.52577391934541,27895746.9259071
BTC,2011-12-20,3.95255082729398,31298866.5690259
BTC,2011-12-21,3.88899325073057,30824549.3657256
BTC,2011-12-22,3.90306042051432,30964929.8071197
BTC,2011-12-23,3.93796507597896,31269805.4429388
BTC,2011-12-24,3.93941911864407,31309912.202721
BTC,2011-12-25,4.23386687784921,33686973.4646124
BTC,2011-12-26,3.99912196405611,31854606.0525013
BTC,2011-12-27,4.0955185458796,32652135.8938518
BTC,2011-12-28,4.20729587609585,33575903.9675223
BTC,2011-12-29,4.17335222676797,33333816.1991302
BTC,2011-12-30,4.31063509000584,34460941.1204363
BTC,2011-12-31,4.71430633138515,37723643.5012843
